id,title,category,price,rating,is_in_stock,availability_text,image_url,book_page_url
1,It's Only the Himalayas,Travel,45.17,2,True,In stock,https://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,https://books.toscrape.com/its-only-the-himalayas_981/index.html
2,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,4,True,In stock,https://books.toscrape.com/media/cache/57/77/57770cac1628f4407636635f4b85e88c.jpg,https://books.toscrape.com/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html
3,See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,3,True,In stock,https://books.toscrape.com/media/cache/9a/7e/9a7e63f12829df4b43b31d110bf3dc2e.jpg,https://books.toscrape.com/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html
4,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94,2,True,In stock,https://books.toscrape.com/media/cache/d5/bf/d5bf0090470b0b8ea46d9c166f7895aa.jpg,https://books.toscrape.com/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html
5,Under the Tuscan Sun,Travel,37.33,3,True,In stock,https://books.toscrape.com/media/cache/98/c2/98c2e95c5fd1a4e7cd5f2b63c52826cb.jpg,https://books.toscrape.com/under-the-tuscan-sun_504/index.html
6,A Summer In Europe,Travel,44.34,2,True,In stock,https://books.toscrape.com/media/cache/4e/15/4e15150388702ebca2c5a523ac270539.jpg,https://books.toscrape.com/a-summer-in-europe_458/index.html
7,The Great Railway Bazaar,Travel,30.54,1,True,In stock,https://books.toscrape.com/media/cache/76/de/76de41867f323d7f1f4fbe2fdfc1b2ba.jpg,https://books.toscrape.com/the-great-railway-bazaar_446/index.html
8,A Year in Provence (Provence #1),Travel,56.88,4,True,In stock,https://books.toscrape.com/media/cache/db/46/db46159b05faa5d95262112bf9c29ddd.jpg,https://books.toscrape.com/a-year-in-provence-provence-1_421/index.html
9,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21,1,True,In stock,https://books.toscrape.com/media/cache/e0/4f/e04f8eda2a2fa947aec17640202d9ab0.jpg,https://books.toscrape.com/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html
10,Neither Here nor There: Travels in Europe,Travel,38.95,3,True,In stock,https://books.toscrape.com/media/cache/06/81/0681530a7bc301caf5c3257e1b0f0750.jpg,https://books.toscrape.com/neither-here-nor-there-travels-in-europe_198/index.html
11,"1,000 Places to See Before You Die",Travel,26.08,5,True,In stock,https://books.toscrape.com/media/cache/d7/0f/d70f7edd92705c45a82118c3ff6c299d.jpg,https://books.toscrape.com/1000-places-to-see-before-you-die_1/index.html
12,Sharp Objects,Mystery,47.82,4,True,In stock,https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,https://books.toscrape.com/sharp-objects_997/index.html
13,"In a Dark, Dark Wood",Mystery,19.63,1,True,In stock,https://books.toscrape.com/media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,https://books.toscrape.com/in-a-dark-dark-wood_963/index.html
